Ultimate Investment Banking Course,https://www.udemy.com/ultimate-investment-banking-course/,TRUE,200,2147,All Levels,1.5,2017-01-18T20:58:58Z,Business Finance
Complete GST Course & Certification - Grow Your CA Practice,https://www.udemy.com/goods-and-services-tax/,TRUE,75,2792,All Levels,39,2017-03-09T16:34:20Z,Business Finance
Financial Modeling for Business Analysts and Consultants,https://www.udemy.com/financial-modeling-for-business-analysts-and-consultants/,TRUE,45,2174,Intermediate Level,2.5,2016-12-19T19:26:30Z,Business Finance
Beginner to Pro - Financial Analysis in Excel 2017,https://www.udemy.com/complete-excel-finance-course-from-beginner-to-pro/,TRUE,95,2451,All Levels,3,2017-05-30T20:07:24Z,Business Finance
How To Maximize Your Profits Trading Options,https://www.udemy.com/how-to-maximize-your-profits-trading-options/,TRUE,200,1276,Intermediate Level,2,2016-12-13T14:57:18Z,Business Finance
Trading Penny Stocks: A Guide for All Levels In 2017,https://www.udemy.com/trading-penny-stocks-a-guide-for-all-levels/,TRUE,150,9221,All Levels,3,2014-05-02T15:13:30Z,Business Finance
Investing And Trading For Beginners: Mastering Price Charts,https://www.udemy.com/investing-and-trading-for-beginners-mastering-price-charts/,TRUE,65,1540,Beginner Level,1,2016-02-21T18:23:12Z,Business Finance
Trading Stock Chart Patterns For Immediate  Explosive Gains,https://www.udemy.com/trading-chart-patterns-for-immediate-explosive-gains/,TRUE,95,2917,All Levels,2.5,2015-01-30T22:13:03Z,Business Finance
Options Trading 3 : Advanced Stock Profit and Success Method,https://www.udemy.com/day-trading-stock-options-3/,TRUE,195,5172,Expert Level,2.5,2015-05-28T00:14:03Z,Business Finance
The Only Investment Strategy You Need For Your Retirement,https://www.udemy.com/the-only-investment-strategy-you-need-for-your-retirement/,TRUE,200,827,All Levels,1,2017-04-18T18:13:32Z,Business Finance
Forex Trading Secrets of the Pros With Amazon's AWS,https://www.udemy.com/trading-with-amazons-aws-servers-trade-secrets-of-the-pros/,TRUE,200,4284,All Levels,5,2015-09-11T16:47:02Z,Business Finance
Trading Options With Money Flow,https://www.udemy.com/trading-options-using-money-flow/,TRUE,200,1380,All Levels,1,2016-10-18T22:52:31Z,Business Finance
Financial Management Risk and Return For Securities,https://www.udemy.com/risk-and-return-finance/,TRUE,30,3607,All Levels,1.5,2016-02-03T18:04:01Z,Business Finance
Forex Trading Course: Work Smarter Not Harder Proven Results,https://www.udemy.com/the-complete-trading-course/,TRUE,195,4061,All Levels,2,2016-03-16T15:40:19Z,Business Finance
Python Algo Trading: Sentiment Trading with News,https://www.udemy.com/hedge-fund-strategy-trading-with-sentiment-analysis/,TRUE,200,294,All Levels,7,2017-04-28T16:41:44Z,Business Finance
Short Selling: Learn To Sell Stocks Before The Fall,https://www.udemy.com/short-selling-learn-to-sell-before-the-fall/,TRUE,75,2276,Intermediate Level,1.5,2015-06-22T21:18:35Z,Business Finance
Basic Technical Analysis: Learn the structure of the market,https://www.udemy.com/learn-basic-technical-analysis/,TRUE,20,4919,Beginner Level,1.5,2016-01-08T17:21:26Z,Business Finance
The Complete Chart Pattern Trading Course: A Proven Approach,https://www.udemy.com/make-money-trading-stocks-from-home/,TRUE,200,2666,All Levels,4,2015-08-10T21:07:35Z,Business Finance
7 Deadly Mistakes of Investing that Will Slash Your Profits!,https://www.udemy.com/7-deadly-mistakes-of-investing/,TRUE,50,5354,All Levels,1.5,2015-09-21T18:10:34Z,Business Finance
Financial Statements Made Easy,https://www.udemy.com/intro-to-financial-statements-for-entrepreneurs/,TRUE,95,8095,Beginner Level,0.583333333,2013-06-09T00:21:26Z,Business Finance
